"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Clone Stability","N. Göde; J. Harder","Software Engineering Group, University of Bremen, Bremen, Germany; Software Engineering Group, University of Bremen, Bremen, Germany","2011 15th European Conference on Software Maintenance and Reengineering","5 Apr 2011","2011","","","65","74","Code clones are said to threaten the maintainability of a system -- especially when the system evolves and source code is changed. Whether clones truly increase maintenance effort can be analyzed by comparing the stability of cloned code to the stability of non-cloned code. A previous study found that cloned code is even more stable than non-cloned code and, thus, requiring less maintenance effort -- contrary to the frequently voiced assumption. In this paper, we describe our partial replication and extension of this study using a more detailed measurement and considering different parameters for clone detection. In general, we were able to validate the findings of the previous study. We furthermore explored possible reasons to gain a better understanding of the unintuitive results.","1534-5351","978-1-61284-259-2","10.1109/CSMR.2011.11","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5741247","code clones;clone stability;experimentation","Cloning;Stability analysis;Maintenance engineering;Size measurement;Detectors;History;Software maintenance","software maintenance","code clone stability;system maintainability;source code;clone detection","","47","","22","IEEE","5 Apr 2011","","","IEEE","IEEE Conferences"
"In Vivo Evaluation of Large-Scale IR-Based Traceability Recovery","M. Borg","Department of Computer Science, Lund University, Lund, Sweden","2011 15th European Conference on Software Maintenance and Reengineering","5 Apr 2011","2011","","","365","368","Modern large-scale software development is a complex undertaking and coordinating various processes is crucial to achieve efficiency. The alignment between requirements and test activities is one very important aspect. Production and maintenance of software result in an ever-increasing amount of information. To be able to work efficiently under such circumstances, navigation in all available data needs support. Maintaining traceability links between software artifacts is one approach to structure the information space and support this challenge. Many researchers have proposed traceability recovery by applying information retrieval (IR) methods, utilizing the fact that artifacts often have textual content in natural language. Case studies have showed promising results, but no large-scale in vivo evaluations have been made. Currently, there is a trend among our industrial partners to move to a specific new software engineering tool. Their aim is to collect different pieces of information in one system. Our ambition is to develop an IR-based traceability recovery plug-in to this tool. From this position, right in the middle of a real industrial setting, many interesting observations could be made. This would allow a unique evaluation of the usefulness of the IR-based approach.","1534-5351","978-1-61284-259-2","10.1109/CSMR.2011.54","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5741348","requirements-test alignment;traceability;information retrieval;empirical software engineering","Software engineering;Companies;Software;USA Councils;Documentation;Large scale integration;Interviews","information retrieval;natural language processing;software maintenance;software tools;system recovery","in vivo evaluation;information retrieval;traceability recovery;software development;software production;software maintenance;traceability link maintenance;software artifact;natural language;software engineering tool","","1","","23","IEEE","5 Apr 2011","","","IEEE","IEEE Conferences"
"Revealing Mistakes in Concern Mapping Tasks: An Experimental Evaluation","C. Nunes; A. Garcia; E. Figueiredo; C. Lucena","Informatics Department-Opus Research Group, Software Engineering Lab, PUC-Rio, Rio de Janeiro, Brazil; Informatics Department-Opus Research Group, Software Engineering Lab, PUC-Rio, Rio de Janeiro, Brazil; Computer Science Department, Federal University of Minas Gerais, Belo Horizonte, Brazil; Informatics Department-Opus Research Group, Software Engineering Lab, PUC-Rio, Rio de Janeiro, Brazil","2011 15th European Conference on Software Maintenance and Reengineering","5 Apr 2011","2011","","","101","110","Concern mapping is the activity of assigning a stakeholder's concern to its corresponding elements in the source code. This activity is primordial to guide software maintainers in several tasks, such as understanding and restructuring the implementation of existing concerns. Even though different techniques are emerging to facilitate the concern mapping process, they are still manual and error-prone according to recent studies. Existing work does not provide any guidance to developers to review and correct concern mappings. In this context, this paper presents the characterization and classification of eight concern mapping mistakes commonly made by developers. These mistakes were found to be associated with various properties of concerns and modules in the source code. The mistake categories were derived from actual mappings of 10 concerns in 12 versions of industry systems. In order to further evaluate to what extent these mistakes also occur in wider contexts, we ran two experiments where 26 subjects mapped 10 concerns in two systems. Our experimental results confirmed the mapping mistakes that often occur when developers need to interact with the source code.","1534-5351","978-1-61284-259-2","10.1109/CSMR.2011.16","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5741266","Concern Mapping;Mapping Mistakes;Experimental Evaluation","Cloning;Context;Software;Accuracy;Logistics;Industries;Manuals","software maintenance","concern mapping task;source code;software maintenance","","5","","32","IEEE","5 Apr 2011","","","IEEE","IEEE Conferences"
"Migrating PL/I Code to Java","H. Sneed","Testing Department, Anecon GmbH, Vienna, Austria","2011 15th European Conference on Software Maintenance and Reengineering","5 Apr 2011","2011","","","287","296","This paper reports on a project to migrate PL/I programs running on an IBM mainframe under Z-OS to Java. The key point is that the transformation of the Code to Java was fully automated using the PLI2Java code transformation tool. The paper describes how the PL/I code was first reengineered to raise the quality and to put it into a form from which it could be converted over to an object - oriented architecture. It then goes on to define the process used to translate the code into Java. No less than 8 steps are required to make the transformation using static singleton objects with string data attributes and methods based on locality of reference. The Java components produced are object-oriented and data independent. In the end the results of the transformation are summarized and conclusions drawn for future work.","1534-5351","978-1-61284-259-2","10.1109/CSMR.2011.35","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5741273","PL/I;code reengineering;code transformation;Java;object–oriented migration","Java;Databases;Arrays;Retirement;Hardware;Programming","Java;PL/1;software architecture","PL/I program;IBM mainframe;Z-OS;PLI2Java code transformation tool;object-oriented architecture;static singleton object;string data","","4","2","38","IEEE","5 Apr 2011","","","IEEE","IEEE Conferences"
"Assistance System for OCL Constraints Adaptation during Metamodel Evolution","K. Hassam; S. Sadou; V. L. Gloahec; R. Fleurquin","Valoria laboratory, UEB, Vannes, France; Valoria laboratory, UEB, Vannes, France; Alkante SAS, France; Valoria laboratory, UEB, Vannes, France","2011 15th European Conference on Software Maintenance and Reengineering","5 Apr 2011","2011","","","151","160","Metamodels evolve over time, as well as other artifacts. In most cases, this evolution is performed manually by stepwise adaptation. In most cases, metamodels are described using the MOF language. Often OCL constraints are added to metamodels in order to ensure consistency of their instances (models). However, during metamodel evolution these constraints are omitted or manually rewritten, which is time consuming and error prone. We propose a tool to help the designer to make a decision on the constraints attached to a metamodel during its evolution. Thus, the tool highlights the constraints that should disappear after evolution and makes suggestions for those which need adaptation to remain consistent. For the latter case, we formally describe how the OCL constraints have to be transformed to preserve their syntactical correctness. Our adaptation rules are defined using QVT which is the OMG standard language for specifying model-to-model transformations.","1534-5351","978-1-61284-259-2","10.1109/CSMR.2011.21","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5741271","Metamodel evolution;OCL constraints;stepwise Adaptation;QVT","Context;Unified modeling language;Adaptation model;Syntactics;Companies;Connectors;Laboratories","formal specification;software prototyping","assistance system;OCL constraints adaptation;metamodel evolution;MOF language;syntactical correctness;QVT;OMG standard language;model-to-model transformation","","11","","27","IEEE","5 Apr 2011","","","IEEE","IEEE Conferences"
"An Analysis and Survey of the Development of Mutation Testing","Y. Jia; M. Harman","Centre for Research on Evolution, Search and Testing CREST, King''s College, London, UK; Centre for Research on Evolution, Search and Testing CREST, King''s College, London, UK","IEEE Transactions on Software Engineering","29 Sep 2011","2011","37","5","649","678","Mutation Testing is a fault-based software testing technique that has been widely studied for over three decades. The literature on Mutation Testing has contributed a set of approaches, tools, developments, and empirical results. This paper provides a comprehensive analysis and survey of Mutation Testing. The paper also presents the results of several development trend analyses. These analyses provide evidence that Mutation Testing techniques and tools are reaching a state of maturity and applicability, while the topic of Mutation Testing itself is the subject of increasing interest.","1939-3520","","10.1109/TSE.2010.62","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5487526","Mutation testing;survey.","Genetic mutations;Software testing;Fault detection;History;Books;Programming profession;Computer languages;Java;Educational institutions;Automata","fault diagnosis;program testing","mutation testing development;fault-based software testing technique;empirical results;comprehensive analysis;development trend analysis;mutation testing technique;mutation testing tool","","962","3","264","IEEE","17 Jun 2010","","","IEEE","IEEE Journals"
"Compiler-assisted data distribution for chip multiprocessors","Y. Li; R. Melhem; A. Abousamra; A. K. Jones","Department of ECE, University of Pittsburgh, Pittsburgh, PA; Department of CS, University of Pittsburgh, Pittsburgh, PA; Department of CS, University of Pittsburgh, Pittsburgh, PA; Department of ECE, University of Pittsburgh, Pittsburgh, PA","2010 19th International Conference on Parallel Architectures and Compilation Techniques (PACT)","13 Feb 2017","2010","","","501","512","Data access latency, a limiting factor in the performance of chip multiprocessors, grows significantly with the number of cores in non-uniform cache architectures with distributed cache banks. To mitigate this effect, it is necessary to leverage the data access locality and choose an optimum data placement. Achieving this is especially challenging when other constraints such as cache capacity, coherence messages and runtime overhead need to be considered. This paper presents a compiler-based approach used for analyzing data access behavior in multi-threaded applications. The proposed experimental compiler framework employs novel compilation techniques to discover and represent multi-threaded memory access patterns (MMAPs). At run time, symbolic MMAPs are resolved and used by a partitioning algorithm to choose a partition of allocated memory blocks among the forked threads in the analyzed application. This partition is used to enforce data ownership by associating the data with the core that executes the thread owning the data. We demonstrate how this information can be used in an experimental architecture to accelerate applications. In particular, our compiler assisted approach shows a 20% speedup over shared caching and 5% speedup over the closest runtime approximation, “first touch”.","","978-1-4503-0178-7","","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7851547","partitioning;data distribution;compiler-assisted caching","Distributed databases;Benchmark testing;Coherence;Runtime;Message systems;Organizations;Instruction sets","cache storage;data handling;microprocessor chips;multiprocessing systems;multi-threading;program compilers","compiler-assisted data distribution;chip multiprocessors;data access latency;limiting factor;nonuniform cache architectures;distributed cache banks;data access locality;optimum data placement;cache capacity;coherence messages;runtime overhead;data access behavior analysis;novel compilation techniques;multithreaded memory access patterns;symbolic MMAP;partitioning algorithm;allocated memory blocks partition;data ownership;closest runtime approximation;shared caching","","13","","24","","13 Feb 2017","","","IEEE","IEEE Conferences"
"Code clone detection in practice","F. Deissenboeck; B. Hummel; E. Juergens","Institut für Informatik, Technische Universität München, Garching bei Munchen, Germany; Institut für Informatik, Technische Universität München, Garching bei Munchen, Germany; Institut für Informatik, Technische Universität München, Garching bei Munchen, Germany","2010 ACM/IEEE 32nd International Conference on Software Engineering","27 Oct 2011","2010","2","","499","500","Due to the negative impact of code cloning on software maintenance efforts as well as on program correctness [4-6], the duplication of code is generally viewed as problematic. However, the techniques and tools developed by the research community in the last decade have not found broad acceptance in software engineering practice yet. This tutorial contributes to a more widespread application of existing approaches by illustrating where cloning comes from, what its consequences are, and how it can be detected.","1558-1225","978-1-60558-719-6","10.1145/1810295.1810449","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6062267","clone detection;redundancy","Cloning;Software;Tutorials;Software engineering;Communities;Redundancy;Manifolds","reproduction (copying);software maintenance","code duplication;software engineering;code clone detection;software maintenance","","6","","6","","27 Oct 2011","","","IEEE","IEEE Conferences"
"Fourth International Workshop on Software Clones (IWSC)","K. Inoue; S. Jarzabek; J. R. Cordy; R. Koshke","Osaka University, Japan; National University of Singapore, Singapore; University of Bremen, Germany; Queens University, Canada","2010 ACM/IEEE 32nd International Conference on Software Engineering","27 Oct 2011","2010","2","","465","466","Software clones are identical or similar pieces of code. They are often the result of copy--and--paste activities as ad-hoc code reuse by programmers. Software clones research is of high relevance for the industry. Many researchers have reported high rates of code cloning in both industrial and open-source systems. In this workshop we will explore lines of research that evaluate code clone detection methods, reason about ways to remove clones, assess the effect of clones on maintainablity, track clones' evolution, and investigate the root causes of clones.","1558-1225","978-1-60558-719-6","10.1145/1810295.1810431","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6062250","code clone detection;software clone;software maintenance","Cloning;Conferences;Software;Educational institutions;Software engineering;Biological system modeling;Software algorithms","","","","","","18","","27 Oct 2011","","","IEEE","IEEE Conferences"
"Detecting recurring and similar software vulnerabilities","N. H. Pham; T. T. Nguyen; H. A. Nguyen; X. Wang; A. T. Nguyen; T. N. Nguyen","Iowa State University, USA; Iowa State University, USA; Iowa State University, USA; Iowa State University, USA; Iowa State University, USA; Iowa State University, USA","2010 ACM/IEEE 32nd International Conference on Software Engineering","27 Oct 2011","2010","2","","227","230","New software security vulnerabilities are discovered on almost daily basis and it is vital to be able to identify and resolve them as early as possible. Fortunately, many software vulnerabilities are recurring or very similar, thus, one could effectively detect and fix a vulnerability in a system by consulting the similar vulnerabilities and fixes from other systems. In this paper, we propose, SecureSync, an automatic approach to detect and provide suggested resolutions for recurring software vulnerabilities on multiple systems sharing/using similar code or API libraries. The core of SecureSync includes a usage model and a mapping algorithm for matching vulnerable code across different systems, a model for the comparison of vulnerability reports, and a tracing technique from a report to corresponding source code. Our preliminary evaluation with case studies showed the potential usefulness of SecureSync.","1558-1225","978-1-60558-719-6","10.1145/1810295.1810336","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6062166","","Security;Software;Vectors;Databases;Libraries;Computational modeling;Protocols","safety-critical software","software security vulnerability;SecureSync approach;recurring software vulnerability;API library;application program interface;vulnerable code matching;mapping algorithm;tracing technique","","1","","8","","27 Oct 2011","","","IEEE","IEEE Conferences"
