"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Privacy-preserving clone detection for RFID-enabled supply chains","D. Zanetti; L. Fellmann; S. Capkun; S. čapkun","Dept. of Computer Science, ETHZ, Zurich, Zurich, Switzerland; Dept. of Computer Science, ETHZ, Zurich, Zurich, Switzerland; Dept. of Computer Science, ETHZ, Zurich, Zurich, Switzerland; Dept. of Computer Science, ETHZ, Zurich, Switzerland","2010 IEEE International Conference on RFID (IEEE RFID 2010)","20 May 2010","2010","","","37","44","Counterfeit products cause financial losses and represent a health risk. Within RFID-enabled supply chains, where products are equipped with RFID tags, clone detection mechanisms based on tag traces can help in detecting counterfeits. These mechanisms assume that supply chain partners share (private) information to run trace analysis, and may suffer from supply chain dynamics, tag misreads, product recalls, and misdeliveries. In this work, we present a novel, effective, privacy-preserving clone detection mechanism for RFID-enabled supply chains. Our mechanism does not rely on global knowledge of supply chain structures or products flow, it is robust to recalls and misdeliveries, and considers tag misreads while evaluating the presence of counterfeits. We propose privacy-preserving implementations of our mechanism that show better performance when compared to similar implementations based on existing secure multi-party computation frameworks.","2374-0221","978-1-4244-5743-4","10.1109/RFID.2010.5467257","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5467257","","Cloning;Supply chains;Radiofrequency identification;Counterfeiting;Cryptography;Sliding mode control;RFID tags;Robustness;Law;Legal factors","data privacy;radiofrequency identification;security of data;supply chain management","privacy-preserving clone detection;RFID-enabled supply chains;counterfeit products;financial loss;health risk;RFID tags;tag trace;counterfeit detection;private information;supply chain dynamics;tag misread;product recall;supply chain structure;product flow;secure multiparty computation framework","","27","4","37","IEEE","20 May 2010","","","IEEE","IEEE Conferences"
"Finding file clones in FreeBSD Ports Collection","Y. Sasaki; T. Yamamoto; Y. Hayase; K. Inoue","Graduate School of Information Science and Technology, Osaka University, Suita, Osaka, Japan; College of Information Science and Engineering, Ritsumeikan University, Kusatsu, Shiga, Japan; Graduate School of Information Science and Technology, Osaka University, Suita, Osaka, Japan; Graduate School of Information Science and Technology, Osaka University, Suita, Osaka, Japan","2010 7th IEEE Working Conference on Mining Software Repositories (MSR 2010)","13 May 2010","2010","","","102","105","In Open Source System (OSS) development, software components are often imported and reused; for this reason we might expect that files are copied in multiple projects (file clones). In this paper, we propose a file clone detection tool called FCFinder and show the analysis performed with it on the FreeBSD Ports Collection, a large OSS project collection. We found many file clones among similar or related projects, which are systematically introduced from base projects.","2160-1860","978-1-4244-6803-4","10.1109/MSR.2010.5463293","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5463293","File clone;hashing;power law;open source system","Cloning;Information science;Performance analysis;Educational institutions;Open source software;Software systems;Plagiarism;Laboratories;Large-scale systems;Visualization","file organisation;public domain software","FreeBSD ports collection;open source system;software component;file clone detection tool;FCFinder;OSS project collection","","19","","10","IEEE","13 May 2010","","","IEEE","IEEE Conferences"
"Clones: What is that smell?","F. Rahman; C. Bird; P. Devanbu","Department of Computer Science, University of California,슠Davis, Davis, CA, USA; Department of Computer Science, University of California Davis, Davis, CA, USA; Department of Computer Science, University of California,슠Davis, Davis, CA, USA","2010 7th IEEE Working Conference on Mining Software Repositories (MSR 2010)","13 May 2010","2010","","","72","81","Clones are generally considered bad programming practice in software engineering folklore. They are identified as a bad smell and a major contributor to project maintenance difficulties. Clones inherently cause code bloat, thus increasing project size and maintenance costs. In this work, we try to validate the conventional wisdom empirically to see whether cloning makes code more defect prone. This paper analyses relationship between cloning and defect proneness. We find that, first, the great majority of bugs are not significantly associated with clones. Second, we find that clones may be less defect prone than non-cloned code. Finally, we find little evidence that clones with more copies are actually more error prone. Our findings do not support the claim that clones are really a ¿bad smell¿. Perhaps we can clone, and breathe easy, at the same time.","2160-1860","978-1-4244-6803-4","10.1109/MSR.2010.5463343","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5463343","software clone;empirical software engineering;software maintenance;software evolution","Cloning;Costs;Computer bugs;Software maintenance;Software engineering;Productivity;Birds;Computer science;Programming;Taxonomy","program debugging;software maintenance","clones;software engineering;project maintenance;code bloat;defect proneness;bugs","","52","","32","IEEE","13 May 2010","","","IEEE","IEEE Conferences"
"Identifying licensing of jar archives using a code-search approach","M. Di Penta; D. M. German; G. Antoniol","Department of Engineering, University of Sannio, Italy; Department of Computer Science, University of Victoria, Canada; SOCCER Laboratory-DGIGL, École Polytechnique de Montréal, QUE, Canada","2010 7th IEEE Working Conference on Mining Software Repositories (MSR 2010)","13 May 2010","2010","","","151","160","Free and open source software strongly promotes the reuse of source code. Some open source Java components/libraries are distributed as jar archives only containing the bytecode and some additional information. For whoever wanting to integrate this jar in her own project, it is important to determine the license(s) of the code from which the jar archive was produced, as this affects the way that such component can be used. This paper proposes an automatic approach to determine the license of jar archives, combining the use of a code-search engine with the automatic classification of licenses contained in textual flies enclosed in the jar. Results of an empirical study performed on 37 jars - from 17 different systems - indicate that this approach is able to successfully infer the jar licenses in over 95% of the cases, but that in many cases the license in textual flies may differ from the one of the classes contained in the jar.","2160-1860","978-1-4244-6803-4","10.1109/MSR.2010.5463282","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5463282","","Licenses;Java;Open source software;Computer science;Software libraries;Engines;Decoding;Uniform resource locators;Documentation;Web search","Java;public domain software;search engines;text analysis","open source software;free software;code-search approach;open source Java components;open source Java libraries;jar archive license identification;code-search engine;textual flies","","17","","19","IEEE","13 May 2010","","","IEEE","IEEE Conferences"
"Cloning and copying between GNOME projects","J. Krinke; N. Gold; Y. Jia; D. Binkley","Centre for Research on Evolution, Search and Testing (CREST), King''s College, UK; Centre for Research on Evolution, Search and Testing (CREST), King''s College, UK; Centre for Research on Evolution, Search and Testing (CREST), King''s College, UK; Loyola University Maryland, Baltimore, MD, USA","2010 7th IEEE Working Conference on Mining Software Repositories (MSR 2010)","13 May 2010","2010","","","98","101","This paper presents an approach to automatically distinguish the copied clone from the original in a pair of clones. It matches the line-by-line version information of a clone to the pair's other clone. A case study on the GNOME Desktop Suite revealed a complex flow of reused code between the different subprojects. In particular, it showed that the majority of larger clones (with a minimal size of 28 lines or higher) exist between the subprojects and more than 60% of the clone pairs can be automatically separated into original and copy.","2160-1860","978-1-4244-6803-4","10.1109/MSR.2010.5463290","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5463290","","Cloning;Control systems;Programming;Information retrieval;Gold;Educational institutions;Automatic testing;Software maintenance;Data mining","biocomputing;software engineering","GNOME projects cloning;GNOME projects copying;copied clone;line-by-line version information","","23","","21","IEEE","13 May 2010","","","IEEE","IEEE Conferences"
"Detection of Type-1 and Type-2 Code Clones Using Textual Analysis and Metrics","E. Kodhai; S. Kanmani; A. Kamatchi; R. Radhika; B. V. Saranya","Department of IT, SMVEC, Puducherry, India; Department of IT, SMVEC, Puducherry, India; Department of IT, SMVEC, Puducherry, India; Department of IT, SMVEC, Puducherry, India; Department of IT, SMVEC, Puducherry, India","2010 International Conference on Recent Trends in Information, Telecommunication and Computing","6 May 2010","2010","","","241","243","Clone Detection has considerably evolved over the last decade, leading to approaches with better results but with increasing complexity. Most of the existing approaches are limited to finding program fragments similar in their syntax or semantics, while the fraction of candidates that are actually clones and fraction of actual clones identified as candidates on the average remain similar. In this paper, a metric-based approach combined with the textual comparison of the source code for the detection of functional Clones in C source code has been proposed. Various metrics had been formulated and their values were utilized during the detection process. Compared to the other approaches, this method is considered to be the least complex and is to provide a more accurate and efficient way of Clone Detection. The results obtained had been compared with the two other existing tools for the open source project Weltab.","","978-1-4244-5957-5","10.1109/ITC.2010.55","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5460547","Clone Detection;Functional Clones;Software Metrics;Text-based Comparison;String-matching","Cloning;Software systems;Java;Telecommunication computing;Information analysis;Software metrics;Software maintenance;Programming profession;Application software;Plagiarism","software maintenance;software metrics","Type-1code clone;Type-2 code clone;textual analysis;textual metrics;C source code;functional clone","","21","","11","IEEE","6 May 2010","","","IEEE","IEEE Conferences"
"An ontological identification of relationships between anti-patterns and code smells","Yixin Luo; A. Hoss; D. L. Carver","Software Engineering Laboratory, Louisiana State University, USA; Software Engineering Laboratory, Louisiana State University, USA; Software Engineering Laboratory, Louisiana State University, USA","2010 IEEE Aerospace Conference","15 Apr 2010","2010","","","1","10","Ensuring quality in software development is a challenging process. The concepts of anti-patterns and code smells utilize the knowledge of known problems to improve the quality of current and future software development. However, the knowledge and understanding of these indicators of low quality software is still insufficient to resolve many of the problems they represent. The identification and definition of anti-patterns is a heuristic process. Additionally, minimal research exists addressing the relationships between or among code smells and anti-patterns. Software quality issues such as understandability and maintainability can be improved by identifying and resolving anti-patterns associated with code smells as well as preventing code smells before coding begins. We present an ontological representation of the relationships between anti-patterns and code smells to enhance the understanding of these concepts with the goal of improving software quality.","1095-323X","978-1-4244-3887-7","10.1109/AERO.2010.5446811","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5446811","","Ontologies;Software quality;Software design;Software maintenance;Application software;Programming;Software systems;Software measurement;Software engineering;Software testing","object-oriented methods;ontologies (artificial intelligence);software quality","ontological relationships identification;anti patterns;code smells;software development;software quality","","","","24","IEEE","15 Apr 2010","","","IEEE","IEEE Conferences"
"Interactive, Evolutionary Search in Upstream Object-Oriented Class Design","C. L. Simons; I. C. Parmee; R. Gwynllyw","Department of Computer Science, University of West of England, Bristol, UK; Department of Computer Science, University of West of England, Bristol, UK; Department of Mathematics and Statistics, University of West of England, Bristol, UK","IEEE Transactions on Software Engineering","29 Nov 2010","2010","36","6","798","816","Although much evidence exists to suggest that early life cycle software engineering design is a difficult task for software engineers to perform, current computational tool support for software engineers is limited. To address this limitation, interactive search-based approaches using evolutionary computation and software agents are investigated in experimental upstream design episodes for two example design domains. Results show that interactive evolutionary search, supported by software agents, appears highly promising. As an open system, search is steered jointly by designer preferences and software agents. Directly traceable to the design problem domain, a mass of useful and interesting class designs is arrived at which may be visualized by the designer with quantitative measures of structural integrity, such as design coupling and class cohesion. The class designs are found to be of equivalent or better coupling and cohesion when compared to a manual class design for the example design domains, and by exploiting concurrent execution, the runtime performance of the software agents is highly favorable.","1939-3520","","10.1109/TSE.2010.34","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5432223","Software design;evolutionary computation;interactive search.","Software agents;Software design;Software performance;Software tools;Design engineering;Software engineering;Evolutionary computation;Open systems;Visualization;Runtime","evolutionary computation;interactive systems;object-oriented methods;open systems;search problems;software agents;software engineering","upstream object oriented class design;life cycle software engineering design;software agent;interactive evolutionary search;open system;design problem domain;structural integrity;concurrent execution;runtime performance","","58","2","66","IEEE","18 Mar 2010","","","IEEE","IEEE Journals"
"Software Entropy in Agile Product Evolution","G. Hanssen; A. F. Yamashita; R. Conradi; L. Moonen","NTNU IDI/SINTEF ICT, Norway; Simula Research Laboratory, Norway; NTNU IDI; Simula Research Laboratory","2010 43rd Hawaii International Conference on System Sciences","11 Mar 2010","2010","","","1","10","As agile software development principles and methods are being adopted by large software product organizations it is important to understand the role of software entropy. That is, how the maintainability of a system may degrade over time due to continuous change. This may on one side affect the ability to act agile in planning and development. On the other side, an agile process may affect growth of entropy. We report from a case study of a successful software product line organization that has adopted the agile development method Evo, showing how agility and entropy are negatively related. We conclude this study by suggesting a two-step approach to manage entropy while maintaining process agility. First, the system needs to be restructured to establish a level of manageable entropy, and then, that the agile process must be complemented with continuous semi-automated quality monitoring and refactoring support.","1530-1605","978-1-4244-5510-2","10.1109/HICSS.2010.344","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5428534","","Entropy;Programming;Product development;Laboratories;Research and development;Decision making;Degradation;Quality management;Monitoring;Software packages","DP industry;entropy;software development management;software maintenance;software prototyping;software quality","agile product evolution;software entropy;large software product organizations;system maintainability;software product line organization;agile development method;Evo;continuous semiautomated quality monitoring;continuous refactoring support;agile software development","","6","","55","IEEE","11 Mar 2010","","","IEEE","IEEE Conferences"
"DECOR: A Method for the Specification and Detection of Code and Design Smells","N. Moha; Y. -G. Gueheneuc; L. Duchien; A. -F. Le Meur","INRIA Rennes Bretagne Atlantique Campus de Beaulieu, Triskell Team, IRISA Université Rennes 1, Rennes, France; Département de Génie Informatique et Génie Logiciel, École Polytechnique de Montréal, Montreal, QUE, Canada; Parc Scientifique de la Haute Borne, INRIA Lille Nord Europe, Villeneuve d'Ascq, France; Parc Scientifique de la Haute Borne, INRIA Lille Nord Europe, Villeneuve d'Ascq, France","IEEE Transactions on Software Engineering","29 Jan 2010","2010","36","1","20","36","Code and design smells are poor solutions to recurring implementation and design problems. They may hinder the evolution of a system by making it hard for software engineers to carry out changes. We propose three contributions to the research field related to code and design smells: (1) DECOR, a method that embodies and defines all the steps necessary for the specification and detection of code and design smells, (2) DETEX, a detection technique that instantiates this method, and (3) an empirical validation in terms of precision and recall of DETEX. The originality of DETEX stems from the ability for software engineers to specify smells at a high level of abstraction using a consistent vocabulary and domain-specific language for automatically generating detection algorithms. Using DETEX, we specify four well-known design smells: the antipatterns Blob, Functional Decomposition, Spaghetti Code, and Swiss Army Knife, and their 15 underlying code smells, and we automatically generate their detection algorithms. We apply and validate the detection algorithms in terms of precision and recall on XERCES v2.7.0, and discuss the precision of these algorithms on 11 open-source systems.","1939-3520","","10.1109/TSE.2009.50","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5196681","Antipatterns;design smells;code smells;specification;metamodeling;detection;Java.","Detection algorithms;Vocabulary;Domain specific languages;Algorithm design and analysis;Metamodeling;Java;Design engineering;Object oriented programming;Phase detection;Costs","formal specification;program verification;software quality","code specification;code detection;design smells;DECOR;DETEX;antipatterns Blob;functional decomposition;Spaghetti code;Swiss army knife;empirical validation;domain-specific language;open-source systems","","506","","66","IEEE","7 Aug 2009","","","IEEE","IEEE Journals"
"Test automation: Flexible way","A. Ieshin; M. Gerenko; V. Dmitriev",NA; NA; NA,"2009 5th Central and Eastern European Software Engineering Conference in Russia (CEE-SECR)","1 Jul 2010","2009","","","249","252","F-Secure is a global leader in providing security as a service through ISP's and mobile operators [1]. The company first used Agile more than 5 years ago and is still in the transition and building the true Agile culture. Test automation (TA) is one of Agile practices that the company has been focusing on and improving lately [2]. This paper describes how TA has been implemented in the company, benefits and drawbacks of different approaches, and key learnings. Our findings may be of interest and help for other Agile teams using or building a automation test system.","","978-1-4244-5665-9","10.1109/CEE-SECR.2009.5501151","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5501151","F-Secure;Agile;test automation;test automation framework","Automatic testing;Software testing;System testing;Instruments;Automatic control;Security;Software quality;Programming;Design automation;Product development","automatic test software;program testing;software prototyping","F-Secure;security as a service;ISP;mobile operators;automation test system;agile practices","","2","","6","IEEE","1 Jul 2010","","","IEEE","IEEE Conferences"
