"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Comparing Agile Software Processes Based on the Software Development Project Requirements","M. Qasaimeh; H. Mehrfard; A. Hamou-Lhadj","Department of Electrical and Computer Engineering, Concordia University, Montreal, QUE, Canada; Department of Electrical and Computer Engineering, Concordia University, Montreal, QUE, Canada; Department of Electrical and Computer Engineering, Concordia University, Montreal, QUE, Canada","2008 International Conference on Computational Intelligence for Modelling Control & Automation","24 Jul 2009","2008","","","49","54","Agile software development principles and methodologies have gained a lot of popularity in recent years. Unlike traditional software processes, agile processes advocate flexible practices that allow coping with changing requirements. Recently, several agile processes have been proposed, which differ in a variety of ways. In this paper, we analyze the characteristics of many agile processes and classify them based on key requirements for a software development project. The objective is to help project managers and software engineers select an agile process that is most suitable to the requirements of their software projects.","","978-0-7695-3514-2","10.1109/CIMCA.2008.54","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5172598","","Programming;Project management;Software maintenance;Engineering management;Software engineering;Software standards;Collaborative software;Collaborative work;Business communication;Documentation","project management;software development management;software prototyping","agile software processes;software development project requirements;flexible practices;changing requirements","","7","","14","IEEE","24 Jul 2009","","","IEEE","IEEE Conferences"
"Clonetracker","E. Duala-Ekoko; M. Robillard","School of Computer Science, McGill University, Montreal, QUE, Canada; School of Computer Science, McGill University, Montreal, QUE, Canada","2008 ACM/IEEE 30th International Conference on Software Engineering","14 Apr 2009","2008","","","843","846","Code clones are generally considered to be an obstacle to software maintenance. Research has provided evidence that it may not always be practical, feasible, or cost-effective to eliminate certain clone groups through refactoring. This paper describes CloneTracker, an Eclipse plug-in that provides support for tracking code clones in evolving software. With CloneTracker, developers can specify clone groups they wish to track, and the tool will automatically generate a clone model that is robust to changes to the source code, and can be shared with other collaborators of the project. When future modifications intersect with tracked clones, CloneTracker will notify the developer, provide support to consistently apply changes to a corresponding clone region, and provide support for updating the clone model. CloneTracker complements existing techniques by providing support for reusing knowledge about the location of clones in source code, and support for keeping track of clones when refactoring is not desirable.","1558-1225","978-1-60558-079-1","10.1145/1368088.1368218","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4814206","code clone;refactoring;simultaneous editing;software maintenance;source code analysis","Cloning;Software maintenance;Robustness;Collaborative tools;Logic programming;Software systems;Computer science;Computer languages;Writing;History","program diagnostics;software maintenance;software reusability;software tools","CloneTracker;code clone management;tool support;software maintenance;software refactoring;software evolution;software reuse","","29","","9","","14 Apr 2009","","","IEEE","IEEE Conferences"
"Scalable detection of semantic clones","M. Gabel; L. Jiang; Z. Su","Department of Computer Science, University of California, Davis, USA; Department of Computer Science, University of California, Davis, USA; Department of Computer Science, University of California, Davis, USA","2008 ACM/IEEE 30th International Conference on Software Engineering","14 Apr 2009","2008","","","321","330","Several techniques have been developed for identifying similar code fragments in programs. These similar fragments, referred to as code clones, can be used to identify redundant code, locate bugs, or gain insight into program design. Existing scalable approaches to clone detection are limited to finding program fragments that are similar only in their contiguous syntax. Other, semantics-based approaches are more resilient to differences in syntax, such as reordered statements, related statements interleaved with other unrelated statements, or the use of semantically equivalent control structures. However, none of these techniques have scaled to real world code bases. These approaches capture semantic information from Program Dependence Graphs (PDGs), program representations that encode data and control dependencies between statements and predicates. Our definition of a code clone is also based on this representation: we consider program fragments with isomorphic PDGs to be clones. In this paper, we present the first scalable clone detection algorithm based on this definition of semantic clones. Our insight is the reduction of the difficult graph similarity problem to a simpler tree similarity problem by mapping carefully selected PDG subgraphs to their related structured syntax. We efficiently solve the tree similarity problem to create a scalable analysis. We have implemented this algorithm in a practical tool and performed evaluations on several million-line open source projects, including the Linux kernel. Compared with previous approaches, our tool locates significantly more clones, which are often more semantically interesting than simple copied and pasted code fragments.","1558-1225","978-1-60558-079-1","10.1145/1368088.1368132","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4814143","clone detection;program dependence graph;refactoring;software maintenance","Cloning;Tree graphs;Software maintenance;Computer science;Computer bugs;Detection algorithms;Performance evaluation;Linux;Kernel;Software algorithms","data flow graphs;Linux;program compilers;program control structures;program debugging;trees (mathematics)","scalable detection;semantic clones;program code fragments;code clones;redundant code;bugs location;program design;program fragments;contiguous syntax;reordered statements;semantically equivalent control structures;real world code bases;semantic information;program dependence graphs;program representations;isomorphic PDG;scalable clone detection algorithm;graph similarity problem;tree similarity problem;PDG subgraphs;structured syntax;million-line open source projects;Linux kernel","","104","5","21","","14 Apr 2009","","","IEEE","IEEE Conferences"
"Clone detection in automotive model-based development","F. Deissenboeck; B. Hummel; E. Jürgens; B. Schätz; S. Wagner; J. -F. Girard; S. Teuchert","Institut für Informatik, Garching b. München, München, Germany; Institut für Informatik, Garching b. München, München, Germany; Technische Universitat Munchen, Munchen, Bayern, DE; Institut für Informatik, Garching b. München, Germany; Institut für Informatik, Garching b. München, München, Germany; MAN Nutzfahrzeuge AG, Elektronik Regelungs- und Steuerungssysteme München, München, Germany; MAN Nutzfahrzeuge AG, Elektronik Regelungs- und Steuerungssysteme München, München, Germany","2008 ACM/IEEE 30th International Conference on Software Engineering","14 Apr 2009","2008","","","603","612","Model-based development is becoming an increasingly common development methodology. In important domains like embedded systems already major parts of the code are generated from models specified with domain-specific modelling languages. Hence, such models are nowadays an integral part of the software development and maintenance process and therefore have a major economic and strategic value for the software-developing organisations. Nevertheless almost no work has been done on a quality defect that is known to seriously hamper maintenance productivity in classic code-based development: Cloning. This paper presents an approach for the automatic detection of clones in large models as they are used in model-based development of control systems. The approach is based on graph theory and hence can be applied to most graphical data-flow languages. An industrial case study demonstrates the applicability of our approach for the detection of clones in Matlab/Simulink models that are widely used in model-based development of embedded systems in the automotive domain.","1558-1225","978-1-60558-079-1","10.1145/1368088.1368172","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4814172","clone detection;data-flow;matlab/simulink;model clone","Cloning;Automotive engineering;Mathematical model;Embedded system;Programming;Software maintenance;Productivity;Control system synthesis;Automatic control;Graph theory","automotive engineering;embedded systems;graph theory;program diagnostics;software maintenance;software quality;software reusability","automatic clone detection;automotive model-based development;embedded system;domain-specific modelling language;software development;software maintenance productivity;software-development organisation;quality defect;classic code-based development;control system;graph theory;graphical data-flow language;Matlab/Simulink model;software reusability","","30","","28","","14 Apr 2009","","","IEEE","IEEE Conferences"
"Mining framework usage changes from instantiation code","T. Schäfer; J. Jonas; M. Mezini","Software Technology Group, Darmstadt University of Technology, Germany; Software Technology Group, Darmstadt University of Technology, Germany; Software Technology Group, Darmstadt University of Technology, Germany","2008 ACM/IEEE 30th International Conference on Software Engineering","14 Apr 2009","2008","","","471","480","Framework evolution may break existing users, which need to be migrated to the new framework version. This is a tedious and error-prone process that benefits from automation. Existing approaches compare two versions of the framework code in order to find changes caused by refactorings. However, other kinds of changes exist, which are relevant for the migration. In this paper, we propose to mine framework usage change rules from already ported instantiations, the latter being applications build on top of the framework, or test cases maintained by the framework developers. Our evaluation shows that our approach finds usage changes not only caused by refactorings, but also by conceptual changes within the framework. Further, it copes well with some issues that plague tools focusing on finding refactorings such as deprecated program elements or multiple changes applied to a single program element.","1558-1225","978-1-60558-079-1","10.1145/1368088.1368153","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4814158","evolution;framework comprehension;migration","Automation;Testing;Software engineering;Software maintenance;Software systems;Permission;Data mining;Software reusability;Software design;Guidelines","data mining;software maintenance;software reusability","error-prone process;refactorings;instantiation code;framework usage change mining","","30","","28","","14 Apr 2009","","","IEEE","IEEE Conferences"
"Granularity in software product lines","C. Kästner; S. Apel; M. Kuhlemann","School of Computer Science, University of Magdeburg, Germany; Department of Informatics and Mathematics, University of Passau, Germany; School of Computer Science, University of Magdeburg, Germany","2008 ACM/IEEE 30th International Conference on Software Engineering","14 Apr 2009","2008","","","311","320","Building software product lines (SPLs) with features is a challenging task. Many SPL implementations support features with coarse granularity - e.g., the ability to add and wrap entire methods. However, fine-grained extensions, like adding a statement in the middle of a method, either require intricate workarounds or obfuscate the base code with annotations. Though many SPLs can and have been implemented with the coarse granularity of existing approaches, fine-grained extensions are essential when extracting features from legacy applications. Furthermore, also some existing SPLs could benefit from fine-grained extensions to reduce code replication or improve readability. In this paper, we analyze the effects of feature granularity in SPLs and present a tool, called Colored IDE (CIDE), that allows features to implement coarse-grained and fine-grained extensions in a concise way. In two case studies, we show how CIDE simplifies SPL development compared to traditional approaches.","1558-1225","978-1-60558-079-1","10.1145/1368088.1368131","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4814142","feature refactoring;ide;software product lines;virtual separation of concerns","Software tools;Design engineering;Computer science;Permission;Informatics;Mathematics;Feature extraction;Software design;Spatial databases;Transaction databases","software engineering","software product lines;coarse granularity;code replication;colored IDE","","67","","54","","14 Apr 2009","","","IEEE","IEEE Conferences"
"Breaking the barriers to successful refactoring","E. Murphy-Hill; A. Black","Portland State University, Portland, OR, USA; Portland State University, Portland, OR, USA","2008 ACM/IEEE 30th International Conference on Software Engineering","14 Apr 2009","2008","","","421","430","Refactoring is the process of changing the structure of code without changing its behavior. Refactoring can be semi-automated with tools, which should make it easier for programmers to refactor quickly and correctly. However, we have observed that many tools do a poor job of communicating errors triggered by the refactoring process and that programmers using them sometimes refactor slowly, conservatively, and incorrectly. In this paper we characterize problems with current refactoring tools, demonstrate three new tools to assist in refactoring, and report on a user study that compares these new tools against existing tools. The results of the study show that speed, accuracy, and user satisfaction can be significantly increased. From the new tools we induce a set of usability recommendations that we hope will help inspire a new generation of programmer-friendly refactoring tools.","1558-1225","978-1-60558-079-1","10.1145/1368088.1368146","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4814153","environments;refactoring;tools;usability","Programming profession;Usability","software tools","extract method;refactoring process;programmer-friendly refactoring tools;code structure","","30","1","26","","14 Apr 2009","","","IEEE","IEEE Conferences"
"Tracking source locations","S. Reiss","Department of Computer Science, Brown University, Providence, RI, USA","2008 ACM/IEEE 30th International Conference on Software Engineering","14 Apr 2009","2008","","","11","20","Many programming tools require information to be associated with source locations. Current tools do this in different ways with different degrees of effectiveness. This paper is an investigation into the various approaches to maintaining source locations. It is based on an experiment that attempts to track a variety of locations over the evolution of a source file. The results demonstrate that relatively simple techniques can be very effective.","1558-1225","978-1-60558-079-1","10.1145/1368088.1368091","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4814112","software evolution;source lines;tool support","Position measurement;Programming profession;Animation;Computer science;Computer bugs;Java;Visualization;Software algorithms;Radio access networks;Maintenance engineering","software tools","source location tracking;programming tools;source file","","21","1","27","","14 Apr 2009","","","IEEE","IEEE Conferences"
"Impact of metrics based refactoring on the software quality: a case study","S. V. Shrivastava; V. Shrivastava","Symbiosis Centre for Information Technology (SCIT), Constituent of Symbiosis International University, Pune, India; IBM India Private Limited, Pune, India","TENCON 2008 - 2008 IEEE Region 10 Conference","27 Jan 2009","2008","","","1","6","As the software system changes, the design of the software deteriorates hence reducing the quality of the system. This paper presents a case study in which an inventory application is considered and efforts are made to improve the quality of the system by refactoring. The code is an open source application namely ldquoinventor deluxe v 1.03rdquo, which was first, assessed using the tool Metrics 1.3.6 (an Eclipse plug-in). The code was then refactored and three more versions were built. At the end of creation of every version the code was assessed to find the improvement in the quality. The results obtained after measuring various metrics helped in tracing the spots in the code, which requires further improvement and hence can be refactored. Most of the refactoring was done manually with little tool support. Finally, a trend was found which shows, that average complexity and size of the code reduces with refactoring - based development, which helps to make the software more maintainable. Thus, although refactoring is time consuming and a labor-intensive work, it has a positive impact on the software quality.","2159-3450","978-1-4244-2408-5","10.1109/TENCON.2008.4766459","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4766459","refactoring;code smells;software metrics;software inspection","Software quality;Open source software;Inspection;Software systems;Software design;Software maintenance;Symbiosis;Application software;Switches;Information technology","software metrics;software quality;software tools","software quality;inventory application;tool support;average complexity;labor-intensive work","","2","","12","IEEE","27 Jan 2009","","","IEEE","IEEE Conferences"
"Towards SOA-Based Code Defect Analysis","Q. Wang; N. Meng; Z. Zhou; J. Li; H. Mei","School of Electronics Engineering and Computer Science, Key Laboratory of High Confidence Software Technologies, Ministry of Education, Peking University, Beijing, China; School of Electronics Engineering and Computer Science, Key Laboratory of High Confidence Software Technologies, Ministry of Education, Peking University, Beijing, China; School of Electronics Engineering and Computer Science, Key Laboratory of High Confidence Software Technologies, Ministry of Education, Peking University, Beijing, China; School of Electronics Engineering and Computer Science, Key Laboratory of High Confidence Software Technologies, Ministry of Education, Peking University, Beijing, China; School of Electronics Engineering and Computer Science, Key Laboratory of High Confidence Software Technologies, Ministry of Education, Peking University, Beijing, China","2008 IEEE International Symposium on Service-Oriented System Engineering","30 Dec 2008","2008","","","269","274","Static code analysis is the analysis of software that is performed to acquire information concerning the dynamic behavior of programs built from that software, without actually executing the programs. Currently, most analysis techniques are implemented as independent tools, or plugins for integrate development environment (IDE, e.g., Eclipse). However, in this paper, we introduce a new way to release the analyzing ability: a Web Service based approach, which can integrate multiple analysis tools, and provides analyzing ability by way of standard Web Service interface. The user can benefit code analyzing ability by just submit the code to be analyzed to the service, without download any analyzing tools, and then get the merged result. The experiment shows that the proposed approach is feasible and efficient.","","978-0-7695-3499-2","10.1109/SOSE.2008.47","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4730498","SOA;code analyzing;code defect","Information analysis;Performance analysis;Software performance;Software tools;Application software;Web services;Software engineering;Systems engineering and theory;Computer science;Laboratories","codes;software architecture;Web services","SOA;code defect analysis;static code analysis;Web service","","4","","13","IEEE","30 Dec 2008","","","IEEE","IEEE Conferences"
