"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Tool Support for Continuous Quality Assessment","F. Deissenboeck; M. Pizka; T. Seifert","Software & Systems Engineering, Technische Universität München, Garching, Germany; Software & Systems Engineering, Technische Universität München, Garching, Germany; Software & Systems Engineering, Technische Universität München, Garching, Germany","13th IEEE International Workshop on Software Technology and Engineering Practice (STEP'05)","11 Sep 2006","2005","","","127","136","Maintenance costs make up the bulk of the total life cycle costs of a software system. Besides organizational issues such as knowledge management and turnover, the long-term maintenance costs are largely predetermined by various quality attributes of the software system itself such as redundancy and adequate documentation. Unfortunately, many quality defects can hardly be corrected retrospectively after they have penetrated the system. A much more promising approach than correction is to avoid decay and to preserve a constant high level of quality through a continuous real-time quality controlling process. To reduce the costs for the required frequent quality assessments, adequate tool support is indispensable. This paper proposes to integrate measurement tools into a flexible and extensible yet high performance quality assessment tool. We present the design and implementation of this tool and report on our experiences made with it in a medium-sized academical project. Among the positive effects are improved software product quality and reduced efforts for manual quality assessments as well as increased awareness for quality issues","","0-7695-2639-X","10.1109/STEP.2005.31","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1691640","","Quality assessment;Costs;Software systems;Software maintenance;Process control;Software quality;ISO standards;Systems engineering and theory;Knowledge management;Documentation","quality management;software maintenance;software quality;software tools;system documentation","tool support;continuous quality assessment;software maintenance;software system;knowledge management;software quality;redundancy;software documentation;quality control","","9","","19","IEEE","11 Sep 2006","","","IEEE","IEEE Conferences"
"Workshop on Empirical Studies in Reverse Engineering","P. Tonella","ITC IRST, Trento, Italy","13th IEEE International Workshop on Software Technology and Engineering Practice (STEP'05)","11 Sep 2006","2005","","","61","64","The field of reverse engineering, originally tied to the analysis and restructuring of legacy systems, proved to be equally effective in supporting the evolution of modern software systems (e.g., OO code, Web applications, etc.). Correspondingly, a high number of techniques and tools have been developed to address the program comprehension needs of the programmers facing maintenance tasks on any kind of software. So far, the validation of the proposed approaches consisted mainly of proofs of concepts and limited case studies. The aim of this workshop was to assess the role of the empirical studies in the future developments of reverse engineering. Knowledge on the actual effectiveness of the available techniques and tools can be gained only through controlled experimentation. In this workshop, the scope of investigation of such studies was considered, and a (provisional) reference taxonomy of tools and techniques was discussed. Then, the main features of the empirical studies specifically designed to validate reverse engineering tools or techniques have been thoroughly examined","","0-7695-2639-X","10.1109/STEP.2005.36","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1691632","","","reverse engineering;software maintenance","reverse engineering;software system evolution;program comprehension;software maintenance;provisional reference taxonomy","","","","1","IEEE","11 Sep 2006","","","IEEE","IEEE Conferences"
"Improving agile software development using extreme AOCE and aspect-oriented CVS","Santokh Singh; H. . -C. Chen; O. Hunter; J. Grundy; J. Hosking","Computer Science Department, University of Auckland, Auckland, New Zealand; Computer Science Department, University of Auckland, Auckland, New Zealand; Computer Science Department, University of Auckland, Auckland, New Zealand; Computer Science Department, University of Auckland, Auckland, New Zealand; Computer Science Department, University of Auckland, Auckland, New Zealand","12th Asia-Pacific Software Engineering Conference (APSEC'05)","20 Mar 2006","2005","","","8 pp.","","Currently there are no concurrent versioning systems (CVS) designed to properly support agile software development. The existing CVS lacks user friendliness and it requires users to be fully experienced with the system before they can adequately use it. Also its asynchronous style of merging often leads to code loss. In this paper, we describe a novel CVS system, called the aspect-oriented CVS (AOCVS) and our newly derived agile software development methodology, extreme aspect-oriented component engineering (extreme AOCE). Unlike the general CVS which is used for a vast variety of projects, AOCVS was designed and developed specifically for extreme AOCE. Our CVS tool merges the changes in a synchronous/real time fashion; this in turn removes the hassle for the developers on having to resolve merging conflicts. We also describe how our implemented AOCVS can be used to provide functionalities that can assist developers to produce and distribute reusable code and to communicate and manage aspect-oriented agile projects more efficiently and effectively. Our novel agile approach and tool allows software developers to use the rich cross-cutting systemic concerns, their behaviour and properties in aspect-oriented components to refactor, maintain, add functionalities and test complex software systems more easily, rapidly and accurately.","1530-1362","0-7695-2465-6","10.1109/APSEC.2005.71","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1607218","","Programming;Software maintenance;Collaborative work;Merging;Software tools;Software systems;Computer science;Human computer interaction;Project management;Software testing","object-oriented programming;configuration management;software maintenance;software reusability","agile software development;extreme aspect-oriented component engineering;aspect-oriented concurrent versioning system;software system","","1","1","22","IEEE","20 Mar 2006","","","IEEE","IEEE Conferences"
"Archeology of code duplication: recovering duplication chains from small duplication fragments","R. Wettel; R. Marinescu","LOOSE Research Group, Institute e-Austria, Romania; LOOSE Research Group, Institute e-Austria, Romania","Seventh International Symposium on Symbolic and Numeric Algorithms for Scientific Computing (SYNASC'05)","21 Feb 2006","2005","","","8 pp.","","Code duplication is a common problem, and a well-known sign of bad design. As a result of that, in the last decade, the issue of detecting code duplication led to various solutions and tools that can automatically find duplicated blocks of code. However, duplicated fragments rarely remain identical after they are copied; they are oftentimes modified here and there. This adaptation usually ""scatters"" the duplicated code block into a large amount of small ""islands"" of duplication, which detected and analyzed separately hide the real magnitude and impact of the duplicated block. In this paper we propose a novel, automated approach for recovering duplication blocks, by composing small isolated fragments of duplication into larger and more relevant duplication chains. We validate both the efficiency and the scalability of the approach by applying it on several well known open-source case-studies and discussing some relevant findings. By recovering such duplication chains, the maintenance engineer is provided with additional cases of duplication that can lead to relevant refactorings, and which are usually missed by other detection methods.","","0-7695-2453-2","10.1109/SYNASC.2005.20","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1595830","code duplication;design flaws;quality assurance","Power system reliability;Light scattering;Scalability;Open source software;Quality assurance;Computer industry;Software systems;Image analysis;Cloning;Filtering","program compilers;software maintenance;automatic programming;program diagnostics","code duplication;duplication chains;duplication fragments;duplication blocks;design flaw;quality assurance","","35","","15","IEEE","21 Feb 2006","","","IEEE","IEEE Conferences"
"Design patterns automation with template library","S. Dascalu; Ning Hao; N. Debnath","Department of Computer Science and Engineering, University of Nevada,슠Reno, Reno, NV, USA; Department of Computer Science and Engineering, University of Nevada,슠Reno, Reno, NV, USA; Winona State University, Winona, MN, USA","Proceedings of the Fifth IEEE International Symposium on Signal Processing and Information Technology, 2005.","23 Jan 2006","2005","","","699","705","Design patterns offer reusable solutions to particular software design problems. Design patterns automation is an approach that applies design patterns at the implementation stage of the software development life cycle. Inspired by two commonly used template libraries, Active Template Library and Standard Template Library, and one of the most popular generic programming technologies, C++ templates, this paper introduces a new method for achieving design patterns automation. This method differs from the currently available UML-based and wizard-based design patterns automation techniques and provides support for increased flexibility, expandability and compatibility in developing software using design patterns. Seven of the patterns proposed by Gamma et al. have been implemented using C++ templates, namely singleton, factory method, visitor, memento, strategy, iterator, and decorator. To illustrate the method proposed, details of singleton and decorator implementations are provided and a larger ""check"" example developed using the decorator template is presented. The paper also includes a comparison with similar approaches and presents several directions of future work","2162-7843","0-7803-9313-9","10.1109/ISSPIT.2005.1577183","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1577183","","Design automation;Software libraries;Software design;Computer science;Manufacturing automation;Unified modeling language;Books;Design engineering;Automatic programming;Design methodology","C++ language;software development management;software libraries;Unified Modeling Language","software design patterns automation;software development life cycle;Active Template Library;Standard Template Library;C++ templates;UML-based design patterns automation technique;wizard-based design patterns automation technique;singleton pattern;factory method pattern;visitor pattern;memento pattern;strategy pattern;iterator pattern;decorator pattern","","4","","23","IEEE","23 Jan 2006","","","IEEE","IEEE Conferences"
"Supporting Web application evolution by dynamic analysis","G. A. Di Lucca; M. Di Penta; A. R. Fasolino; P. Tramontana","RCOST-Research Centre on Software Technology, University of Sannio, Benevento, Italy; RCOST-Research Centre on Software Technology, University of Sannio, Benevento, Italy; Dipartimento di Informatica e Sistemistica, Università di Napoli Federico II, Napoli, Italy; Dipartimento di Informatica e Sistemistica, Università di Napoli Federico II, Napoli, Italy","Eighth International Workshop on Principles of Software Evolution (IWPSE'05)","10 Jan 2006","2005","","","175","184","The evolution of Web applications needs to be supported by the availability of proper analysis and design documents. UML use case diagrams are certainly useful to identify features to evolve, as well as to study the Web application evolution in terms of features added/removed or changed. Unfortunately, very often the only source of documentation available is constituted by the Web application source code. This paper proposes an approach to abstract use case diagrams from execution traces of a Web application. The approach is mainly based on the analysis of a graph modelling the transitions between the pages navigated along user sessions and the clustering of the navigated pages. A case study carried out to validate the proposed approach and showing its feasibility is reported in the paper.","2332-5682","0-7695-2349-8","10.1109/IWPSE.2005.29","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1572324","","Documentation;Unified modeling language;Reverse engineering;Performance analysis;Application software;Navigation;Production;US Department of Transportation;Availability;Text analysis","system monitoring;Unified Modeling Language;software prototyping;reverse engineering;software maintenance","Web application evolution;dynamic analysis;design document;UML;use case diagrams;Web application source code;execution traces;graph model;page navigation;reverse engineering","","6","","18","IEEE","10 Jan 2006","","","IEEE","IEEE Conferences"
"The LAN-simulation: a refactoring teaching example","S. Demeyer; F. Van Rysselberghe; T. Girba; J. Ratzinger; R. Marinescu; T. Mens; B. Du Bois; D. Janssens; S. Ducasse; M. Lanza; M. Rieger; H. Gall; M. El-Ramly",NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA,"Eighth International Workshop on Principles of Software Evolution (IWPSE'05)","10 Jan 2006","2005","","","123","131","The notion of refactoring - transforming the source-code of an object-oriented program without changing its external behaviour - has been studied intensively within the last decade. This diversity has created a plethora of toy-examples, cases and code snippets, which make it hard to assess the current state-of-the-art. Moreover, due to this diversity, there is currently no accepted way of teaching good refactoring practices, despite the acknowledgment in the software engineering body of knowledge. Therefore, this paper presents a common example - the LAN simulation - which has been used by a number of European Universities for both research and teaching purposes.","2332-5682","0-7695-2349-8","10.1109/IWPSE.2005.30","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1572316","","Education;Software engineering;Software systems;Prototypes;Local area networks;Object oriented modeling;Educational institutions;Software maintenance;Large-scale systems;Costs","object-oriented programming;local area networks;computer science education;teaching;digital simulation","object-oriented program;software engineering;LAN simulation;refactoring teaching example","","19","","21","IEEE","10 Jan 2006","","","IEEE","IEEE Conferences"
"Enriching reverse engineering with semantic clustering","A. Kuhn; S. Ducasse; T. Girba","Software Composition Group, University of Bern, Switzerland; Software Composition Group, University of Bern, Switzerland; Software Composition Group, University of Bern, Switzerland","12th Working Conference on Reverse Engineering (WCRE'05)","3 Jan 2006","2005","","","10 pp.","142","Understanding a software system by just analyzing the structure of the system reveals only half of the picture, since the structure tells us only how the code is working but not what the code is about. What the code is about can be found in the semantics of the source code: names of identifiers, comments etc. In this paper, we analyze how these terms are spread over the source artifacts using latent semantic indexing, an information retrieval technique. We use the assumption that parts of the system that use similar terms are related. We cluster artifacts that use similar terms, and we reveal the most relevant terms for the computed clusters. Our approach works at the level of the source code which makes it language independent. Nevertheless, we correlated the semantics with structural information and we applied it at different levels of abstraction (e.g. classes, methods). We applied our approach on three large case studies and we report the results we obtained.","2375-5369","0-7695-2474-5","10.1109/WCRE.2005.16","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1566153","semantic analysis;clustering;concept location;reverse engineering","Reverse engineering;Large scale integration;Information retrieval;Software systems;Information analysis;Indexing;Vocabulary;Web server;Computational modeling;Computer simulation","formal specification;reverse engineering;programming language semantics;structured programming;indexing;information retrieval;program diagnostics","reverse engineering;semantic clustering;software system;system structure;source code semantic;latent semantic indexing;information retrieval;artifacts clustering","","51","","23","IEEE","3 Jan 2006","","","IEEE","IEEE Conferences"
"Diagnosing design problems in object oriented systems","A. Trifu; R. Marinescu","FZI Forschungszentrum Informatik, Karlsruhe, Germany; LOOSE Research Group, Politehnica University, Timisoara, Romania","12th Working Conference on Reverse Engineering (WCRE'05)","3 Jan 2006","2005","","","10 pp.","164","Software decay is a phenomenon that plagues aging software systems. While in recent years, there has been significant progress in the area of automatic detection of ""code smells"" on one hand, and code refactorings on the other hand, we claim that existing restructuring practices are seriously hampered by their symptomatic and informal (non-repeatable) nature. This paper makes a clear distinction between structural problems and structural symptoms (also known as code smells), and presents a novel, causal approach to restructuring object oriented systems. Our approach is based on two innovations: the encapsulation of correlations of symptoms and additional contextual information into higher-level design problems, and the univocal, explicit mapping of problems to unique refactoring solutions. Due to its explicit, repeatable nature, the approach shows high potential for increased levels of automation in the restructuring process, and consequently a decrease in maintenance costs.","2375-5369","0-7695-2474-5","10.1109/WCRE.2005.15","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1566155","","Medical diagnostic imaging;Software systems;Diseases;Costs;Switches;Aging;Technological innovation;Encapsulation;Automation;Software maintenance","object-oriented programming;software maintenance;program diagnostics","object-oriented system design;object-oriented system diagnosis;object-oriented system restructuring;software decay;aging software system;automatic code smell detection;code refactoring solution;structural symptom encapsulation;contextual information;explicit mapping","","28","","26","IEEE","3 Jan 2006","","","IEEE","IEEE Conferences"
"When functions change their names: automatic detection of origin relationships","Sunghun Kim; Kai Pan; E. J. Whitehead","Department of Computer Science, University of California, Santa Cruz, Santa Cruz, CA, USA; Department of Computer Science, University of California, Santa Cruz, Santa Cruz, CA, USA; Department of Computer Science, University of California, Santa Cruz, Santa Cruz, CA, USA","12th Working Conference on Reverse Engineering (WCRE'05)","3 Jan 2006","2005","","","10 pp.","152","It is a common understanding that identifying the same entity such as module, file, and function between revisions is important for software evolution related analysis. Most software evolution researchers use entity names, such as file names and function names, as entity identifiers based on the assumption that each entity is uniquely identifiable by its name. Unfortunately names change over time. In this paper, we propose an automated algorithm that identifies entity mapping at the function level across revisions even when an entity's name changes in the new revision. This algorithm is based on computing function similarities. We introduce eight similarity factors to determine if a function is renamed from a function. To find out which similarity factors are dominant, a significance analysis is performed on each factor. To validate our algorithm and for factor significance analysis, ten human judges manually identified renamed entities across revisions for two open source projects: Subversion and Apache2. Using the manually identified result set we trained weights for each similarity factor and measured the accuracy of our algorithm. We computed the accuracies among human judges. We found our algorithm's accuracy is better than the average accuracy among human judges. We also show that trained weights for similarity factors from one period in one project are reusable for other periods and/or other projects. Finally we combined all possible factor combinations and computed the accuracy of each combination. We found that adding more factors does not necessarily improve the accuracy of origin detection.","2375-5369","0-7695-2474-5","10.1109/WCRE.2005.33","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1566154","","Humans;Computer science;Performance analysis;Algorithm design and analysis;History;Project management","entity-relationship modelling;functional programming;public domain software;software maintenance","function name;origin relationship automatic detection;software evolution;entity names;file names;entity identifiers;entity mapping;computing function similarities;open source projects;Subversion;Apache2","","19","3","22","IEEE","3 Jan 2006","","","IEEE","IEEE Conferences"
