"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Clone Smells in Software Evolution","T. Bakota; R. Ferenc; T. Gyimothy","Department of Software Engineering, University of Szeged, Hungary; Department of Software Engineering, University of Szeged, Hungary; Department of Software Engineering, University of Szeged, Hungary","2007 IEEE International Conference on Software Maintenance","22 Oct 2007","2007","","","24","33","Although source code cloning (copy&paste programming) represents a significant threat to the maintainability of a software system, problems usually start to arise only when the system evolves. Most of the related research papers tackle the question of finding code clones in one particular version of the software only, leaving the dynamic behavior of the clones out of consideration. Eliminating these clones in large software systems often seems absolutely hopeless, as there might exist several thousands of them. Alternatively, tracking the evolution of individual clones can be used to identify those occurrences that could really cause problems in the future versions. In this paper we present an approach for mapping clones from one particular version of the software to another one, based on a similarity measure. This mapping is used to define conditions under which clones become suspicious (or ""smelly"") compared to their other occurrences. Accordingly, these conditions introduce the notion of dynamic clone smells. The usefulness of these smells is validated on the Mozilla Firefox internet browser, where the approach was able to find specific bugs that resulted from neglecting earlier copy&paste activities.","1063-6773","978-1-4244-1255-6","10.1109/ICSM.2007.4362615","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4362615","","Cloning;Software systems;Software maintenance;Computer bugs;Programming profession;Software engineering;Genetic programming;Particle measurements;Software measurement;Internet","Internet;software maintenance;software prototyping","software evolution;source code cloning;software maintenance;Mozilla Firefox Internet browser","","50","","26","IEEE","22 Oct 2007","","","IEEE","IEEE Conferences"
"A model to predict anti-regressive effort in Open Source Software","A. Capiluppi; J. Fernandez-Ramil","Department of Computing and Informatics, University of Lincoln, UK; Computing Department, The Open University, UK","2007 IEEE International Conference on Software Maintenance","22 Oct 2007","2007","","","194","203","Accumulated changes on a software system are not uniformly distributed: some elements are changed more often than others. For optimal impact, the limited time and effort for complexity control, called anti-regressive work, should be applied to the elements of the system which are frequently changed and are complex. Based on this, we propose a maintenance guidance model (MGM) which is tested against real-world data. MGM takes into account several dimensions of complexity: size, structural complexity and coupling. Results show that maintainers of the eight open source systems studied tend, in general, to prioritize their anti-regressive work in line with the predictions given by our MGM, even though, divergences also exist. MGM offers a history-based alternative to existing approaches to the identification of elements for anti-regressive work, most of which use static code characteristics only.","1063-6773","978-1-4244-1255-6","10.1109/ICSM.2007.4362632","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4362632","ANTI-REGRESSIVE WORK;COUPLING;EMPIRICAL STUDIES;MCCABE CYCLOMATIC COMPLEXITY;MAINTENANCE;METRICS;OPEN SOURCE;SoFTWARE EVOLUTION","Predictive models;Open source software;Software systems;Informatics;Optimal control;Control systems;Software testing;System testing;Documentation;Knowledge management","public domain software;software metrics","open source software;complexity control;antiregressive work;maintenance guidance model","","5","","28","IEEE","22 Oct 2007","","","IEEE","IEEE Conferences"
"Mining the Lexicon Used by Programmers during Sofware Evolution","G. Antoniol; Y. -G. Gueheneuc; E. Merlo; P. Tonella","Soccer Laboratory, DGI, École Polytechnique de Montréal, Canada; GEODES Laboratory, DIRO, University of Montréal, Canada; Soccer Laboratory, DGI, École Polytechnique de Montréal, Canada; Fondazione Bruno Kessler (FBK), Trento, Italy","2007 IEEE International Conference on Software Maintenance","22 Oct 2007","2007","","","14","23","Identifiers represent an important source of information for programmers understanding and maintaining a system. Self-documenting identifiers reduce the time and effort necessary to obtain the level of understanding appropriate for the task at hand. While the role of the lexicon in program comprehension has long been recognized, only a few works have studied the quality and enhancement of the identifiers and no works have studied the evolution of the lexicon. In this paper, we characterize the evolution of program identifiers in terms of stability metrics and occurrences of renaming. We assess whether an evolution process similar to the one occurring for the program structure exists for identifiers. We report data and results about the evolution of three large systems, for which several releases are available. We have found evidence that the evolution of the lexicon is more limited and constrained than the evolution of the structure. We argue that the different evolution results from several factors including the lack of advanced tool support for lexicon construction, documentation, and evolution.","1063-6773","978-1-4244-1255-6","10.1109/ICSM.2007.4362614","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4362614","","Programming profession;Stability;Software maintenance;Structural engineering;System testing;Information resources;Documentation;Personnel;Preventive maintenance;Frequency","configuration management;data mining;software maintenance;software metrics;software prototyping;software quality","software evolution process;lexicon mining;self-documenting identifiers;program comprehension;stability metrics;software maintenance;system version;software quality","","22","","22","IEEE","22 Oct 2007","","","IEEE","IEEE Conferences"
"An Activity-Based Quality Model for Maintainability","F. Deissenboeck; S. Wagner; M. Pizka; S. Teuchert; J. . -F. Girard","Institut füir Informatik, Technische Universität München, Garching, Germany; Institut füir Informatik, Technische Universität München, Garching, Germany; Institut füir Informatik, Technische Universität München, Garching, Germany; Elektronik Regelungs-und Steuerungssysteme (TSE), MAN Nutzfahrzeuge AG, Munchen, Germany; Elektronik Regelungs-und Steuerungssysteme (TSE), MAN Nutzfahrzeuge AG, Munchen, Germany","2007 IEEE International Conference on Software Maintenance","22 Oct 2007","2007","","","184","193","Maintainability is a key quality attribute of successful software systems. However, its management in practice is still problematic. Currently, there is no comprehensive basis for assessing and improving the maintainability of software systems. Quality models have been proposed to solve this problem. Nevertheless, existing approaches do not explicitly take into account the maintenance activities, that largely determine the software maintenance effort. This paper proposes a 2-dimensional model of maintainability that explicitly associates system properties with the activities carried out during maintenance. The separation of activities and properties facilitates the identification of sound quality criteria and allows to reason about their interdependencies. This transforms the quality model into a structured and comprehensive quality knowledge base that is usable in industrial project environments. For example, review guidelines can be generated from it. The model is based on an explicit quality metamodel that supports its systematic construction and fosters preciseness as well as completeness. An industrial case study demonstrates the applicability of the model for the evaluation of the maintainability of Matlab Simulink models that are frequently used in model-based development of embedded systems.","1063-6773","978-1-4244-1255-6","10.1109/ICSM.2007.4362631","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4362631","","Software maintenance;Mathematical model;Software systems;Costs;Construction industry;Personnel;Terminology;Guidelines;Embedded system;Environmental economics","embedded systems;software maintenance;software quality","activity-based quality model;software maintainability;2-dimensional model;industrial project environment;metamodel;Matlab;Simulink;embedded system;model-based development","","43","","27","IEEE","22 Oct 2007","","","IEEE","IEEE Conferences"
"Introductory Computing Construct Use in an End-User Programming Community","B. Dorn; A. E. Tew; M. Guzdial","Georgia Institute of Technology, USA; Georgia Institute of Technology, USA; Georgia Institute of Technology, USA","IEEE Symposium on Visual Languages and Human-Centric Computing (VL/HCC 2007)","22 Oct 2007","2007","","","27","32","Previous studies of end-user programmers have indicated a reliance on related examples for learning. Accordingly, we analyzed the projects contained in an online community with respect to their use of introductory computing constructs. In general, the projects resemble those of novice programmers, implying the opportunity for supporting additional learning. Project authors' attention to matters of intellectual property may also directly impact other end-users' willingness to learn.","1943-6106","978-0-7695-2987-5","10.1109/VLHCC.2007.35","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4351323","","Programming profession;Intellectual property;Computer science;Computer graphics;Application software;Java;Algorithms;Data structures;Educational programs;Books","personal computing","introductory computing;end-user programming community;online community","","7","","9","IEEE","22 Oct 2007","","","IEEE","IEEE Conferences"
"Mining Software Evolution to Predict Refactoring","J. Ratzinger; T. Sigmund; P. Vorburger; H. Gall","Institute of Information Systems, University of Technology, Vienna, Vienna, Austria; Institute of Information Systems, University of Technology, Vienna, Vienna, Austria; Department of Informatics, University of Zurich, Zurich, Switzerland; Department of Informatics, University of Zurich, Zurich, Switzerland","First International Symposium on Empirical Software Engineering and Measurement (ESEM 2007)","15 Oct 2007","2007","","","354","363","Can we predict locations of future refactoring based on the development history? In an empirical study of open source projects we found that attributes of software evolution data can be used to predict the need for refactoring in the following two months of development. Information systems utilized in software projects provide a broad range of data for decision support. Versioning systems log each activity during the development, which we use to extract data mining features such as growth measures, relationships between classes, the number of authors working on a particular piece of code, etc. We use this information as input into classification algorithms to create prediction models for future refactoring activities. Different state-of-the-art classifiers are investigated such as decision trees, logistic model trees, prepositional rule learners, and nearest neighbor algorithms. With both high precision and high recall we can assess the refactoring proneness of object-oriented systems. Although we investigate different domains, we discovered critical factors within the development life cycle leading to refactoring, which are common among all studied projects.","1949-3789","978-0-7695-2886-1","10.1109/ESEM.2007.9","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4343763","","Open source software;Data mining;Object oriented modeling;History;Information systems;Software systems;Feature extraction;Particle measurements;Classification algorithms;Prediction algorithms","data mining;decision trees;object-oriented methods;software engineering","mining software evolution;development history;open source projects;software projects;decision support;versioning systems;data mining features;decision trees;logistic model trees;prepositional rule learners;object-oriented systems","","36","","21","IEEE","15 Oct 2007","","","IEEE","IEEE Conferences"
"Requirement and Design Trade-offs in Hackystat: An In-Process Software Engineering Measurement and Analysis System","P. M. Johnson","Collaborative Software Development Laboratory Department of Information and Computer Sciences, University of Hawai, Honolulu, HI, USA","First International Symposium on Empirical Software Engineering and Measurement (ESEM 2007)","15 Oct 2007","2007","","","81","90","For five years, the Hackystat project has incremen tally developed and evaluated a generic framework for in process software engineering measurement and analysis (ISEMA). At least five other independent ISEMA system development projects have been initiated during this time, indicating growing interest and investment in this approach by the software engineering community. This pa per presents 12 important requirement and design trade offs made in the Hackystat system, some of their implications for organizations wishing to introduce ISEMA, and six directions for future research and development. The three goals of this paper are to: (1) help potential users of ISEMA systems to better evaluate the relative strengths and weaknesses of current and future systems, (2) help potential developers of ISEMA systems to better understand some of the important requirement and design tradeoffs that they must make, and (3) help accelerate progress in ISEMA by identifying promising directions for future research and development.","1949-3789","978-0-7695-2886-1","10.1109/ESEM.2007.36","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4343735","","Software engineering;Software measurement;Size measurement;Sensor systems;Research and development;Programming;Information analysis;Collaborative software;Data analysis;Humans","software engineering","inprocess software engineering measurement;ISEMA;Hackystat system","","24","","16","IEEE","15 Oct 2007","","","IEEE","IEEE Conferences"
"Detecting Change in Program Behavior for Adaptive Optimization","N. Peleg; B. Mendelson","IBM Haifa Research Laboratory, Israel; IBM Haifa Research Laboratory, Israel","16th International Conference on Parallel Architecture and Compilation Techniques (PACT 2007)","1 Oct 2007","2007","","","150","162","Feedback information has proven useful in guiding optimizations in compilers and post-link optimizers. Program performance behavior can change over time and may invalidate the feedback information. Low overhead monitoring can be used to detect such changes, using performance metrics such as CPI. On a loaded SMT system, where other threads are simultaneously activated on the same CPU, the CPI shows large variability. We introduce an efficient monitoring method that is insensitive to other activities in the system and can be safely used to collect program behavior on a loaded SMT system. The overhead of this method is 0.58% with SPECint2000. We also introduce a novel transformation to the program behavior representation, which makes it insensitive to code optimizations and enables a comparison of the program behavior collected in different optimization cycles. This approach opens new opportunities and enables adaptive optimizations on modern SMT architectures.","1089-795X","978-0-7695-2944-8","10.1109/PACT.2007.4336208","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4336208","","Monitoring;Optimizing compilers;Surface-mount technology;Feedback;Measurement;Yarn;Frequency;Runtime;Databases;Sampling methods","feedback;program compilers","program behavior;adaptive optimization;compilers;post-link optimizers;feedback information;monitoring method;loaded SMT system;program behavior representation","","9","","26","IEEE","1 Oct 2007","","","IEEE","IEEE Conferences"
"A Practical Model for Measuring Maintainability","I. Heitlager; T. Kuipers; J. Visser","Software Improvement Group, Netherlands; Software Improvement Group, Netherlands; Software Improvement Group, Netherlands","6th International Conference on the Quality of Information and Communications Technology (QUATIC 2007)","1 Oct 2007","2007","","","30","39","The amount of effort needed to maintain a software system is related to the technical quality of the source code of that system. The ISO 9126 model for software product quality recognizes maintainability as one of the 6 main characteristics of software product quality, with adaptability, changeability, stability, and testability as subcharacteristics of maintainability. Remarkably, ISO 9126 does not provide a consensual set of measures for estimating maintainability on the basis of a system's source code. On the other hand, the maintainability index has been proposed to calculate a single number that expresses the maintainability of a system. In this paper, we discuss several problems with the MI, and we identify a number of requirements to be fulfilled by a maintainability model to be usable in practice. We sketch a new maintainability model that alleviates most of these problems, and we discuss our experiences with using such as system for IT management consultancy activities.","","978-0-7695-2948-6","10.1109/QUATIC.2007.8","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4335232","","Software quality;Software maintenance;ISO standards;Communication system software;Software systems;Software testing;IEC standards;Software standards;Communications technology;Software measurement","software maintenance;software quality","practical model;maintainability measurement;software system;technical quality;source code;ISO 9126 model;software product quality;maintainability index;IT management consultancy activities","","135","","34","IEEE","1 Oct 2007","","","IEEE","IEEE Conferences"
"Software Reuse Detection Using an Integrated Space-Logic Domain Model","W. Qu; M. Jiang; Y. Jia","Motorola Labs, Motorola, Inc., Schaumburg, IL, USA; Motorola Labs, Motorola, Inc., Schaumburg, IL, USA; Bioengineering Department, University of Illinois, Chicago, IL, USA","2007 IEEE International Conference on Information Reuse and Integration","4 Sep 2007","2007","","","638","643","Software reuse detection is a challenging task due to various modifications and the large size of software code. Most existing approaches adopt a token-based software representation and use sequential analysis for software reuse detection. Due to the intrinsic limitations of such a space-domain analysis, these methods have difficulties to handle statement reordering, insertion and control replacement. Recently, logic-domain models such as program dependent graph have been exploited to solve these issues. Although they can improve the performance in terms of accuracy, they introduce additional problems. Their computational complexity is very high and dramatically increases with the software size, limiting their applications in practice. In this paper, we propose a novel software reuse detection framework using an integrated space-logic domain model. It embeds a logic-domain software model into a space-domain analysis and thoroughly exploits the software 's information from both space domain and logic domain. The preliminary experimental results have demonstrated the superior performance of the proposed approach compared with other methods.","","1-4244-1499-7","10.1109/IRI.2007.4296692","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4296692","","Sequential analysis;Plagiarism;Computational complexity;Open source software;Application software;Embedded software;Filters;Software debugging;Biomedical engineering;Information analysis","formal logic;software reusability","software reuse detection;integrated space-logic domain model;software code;token-based software representation;use sequential analysis","","2","1","14","IEEE","4 Sep 2007","","","IEEE","IEEE Conferences"
