"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"DMS/spl reg/: program transformations for practical scalable software evolution","I. D. Baxter; C. Pidgeon; M. Mehlich","Semantic Designs, Inc., USA; Semantic Designs, Inc., USA; Semantic Designs, Inc., USA","Proceedings. 26th International Conference on Software Engineering","26 Jul 2004","2004","","","625","634","While a number of research systems have demonstrated the potential value of program transformations, very few of these systems have made it into practice. The core technology for such systems is well understood; what remains is integration and more importantly, the problem of handling the scale of the applications to be processed. This paper describes DMS, a practical, commercial program analysis and transformation system, and sketches a variety of tasks to which it has been applied, from redocumenting to large-scale system migration. Its success derives partly from a vision of design maintenance and the construction of infrastructure that appears necessary to support that vision. DMS handles program scale by careful space management, computational scale via parallelism and knowledge acquisition scale via domains.","0270-5257","0-7695-2163-0","10.1109/ICSE.2004.1317484","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1317484","","Software tools;Java;Space technology;Large-scale systems;Knowledge management;Concurrent computing;Parallel processing;Knowledge acquisition;Software maintenance;Paper technology","software maintenance;program diagnostics;knowledge acquisition;software prototyping;systems re-engineering","DMS/spl reg/;program transformations;software evolution;program analysis;space management;knowledge acquisition;software reengineering;design maintenance","","80","1","22","IEEE","26 Jul 2004","","","IEEE","IEEE Conferences"
"Finding latent code errors via machine learning over program executions","Y. Brun; M. D. Ernst","Laboratory for Molecular Science, University of Southern California, Los Angeles, CA, USA; Computer Science & Artificial Intelligence Laboratory, Massachusetts Institute of Technology, Cambridge, MA, USA","Proceedings. 26th International Conference on Software Engineering","26 Jul 2004","2004","","","480","490","This paper proposes a technique for identifying program properties that indicate errors. The technique generates machine learning models of program properties known to result from errors, and applies these models to program properties of user-written code to classify and rank properties that may lead the user to errors. Given a set of properties produced by the program analysis, the technique selects a subset of properties that are most likely to reveal an error. An implementation, the fault invariant classifier, demonstrates the efficacy of the technique. The implementation uses dynamic invariant detection to generate program properties. It uses support vector machine and decision tree learning tools to classify those properties. In our experimental evaluation, the technique increases the relevance (the concentration of fault-revealing properties) by a factor of 50 on average for the C programs, and 4.8 for the Java programs. Preliminary experience suggests that most of the fault-revealing properties do lead a programmer to an error.","0270-5257","0-7695-2163-0","10.1109/ICSE.2004.1317470","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1317470","","Machine learning;Testing;Programming profession;Computer errors;Support vector machines;Support vector machine classification;Decision trees;Classification tree analysis;Laboratories;Computer science","program diagnostics;learning (artificial intelligence);support vector machines;decision trees;C language;Java;fault diagnosis","machine learning models;program properties;user-written code;program analysis;fault invariant classifier;dynamic invariant detection;support vector machine;decision tree learning tools;C programs;Java programs;fault-revealing properties;latent code errors;program executions","","68","2","26","IEEE","26 Jul 2004","","","IEEE","IEEE Conferences"
"Reengineering Web applications based on cloned pattern analysis","A. De Lucia; R. Francese; G. Scanniello; G. Tortora","Dipartimento di Matematica e Informatica, Università di Salerno, Salerno, Italy; Dipartimento di Matematica e Informatica, Universita di Salemo, Salerno, Italy; Dipartimento di Matematica e Informatica, Universita di Salemo, Salerno, Italy; Dipartimento di Matematica e Informatica, Universita di Salemo, Salerno, Italy","Proceedings. 12th IEEE International Workshop on Program Comprehension, 2004.","12 Jul 2004","2004","","","132","141","Web applications are subject to continuous and rapid evolution. Often it happens that programmers indiscriminately duplicate Web pages without considering systematic development and maintenance methods. This practice creates code clones that make Web applications hard to maintain and reuse. This paper presents an approach for reengineering Web applications based on clone analysis that aims at identifying and generalizing static and dynamic pages and navigational patterns of a Web application. Clone analysis is also helpful for identifying literals that can be generated from a database. A case study is described which shows how the proposed approach can be used for restructuring the navigational structure of a Web application by removing redundant code.","1092-8138","0-7695-2149-5","10.1109/WPC.2004.1311055","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1311055","","Pattern analysis;Cloning;Navigation;Web pages;Databases;Production;Software systems;Application software;Testing;US Department of Transportation","Internet;systems re-engineering;software maintenance","Web applications;applications reengineering;cloned pattern analysis;clone analysis;navigational patterns;literals identification","","12","","31","IEEE","12 Jul 2004","","","IEEE","IEEE Conferences"
"Field-testing IMPACT EPIC research results in Itanium 2","J. W. Sias; Sain-zee Ueng; G. A. Kent; I. M. Steiner; E. M. Nystrom; W. . -M. W. Hwu","Center for Reliable and High-Performance Computing, Department of Electrical and Computer Engineering, University of Illinois, Urbana-Champaign, USA; Center for Reliable and High-Performance Computing, Department of Electrical and Computer Engineering, University of Illinois, Urbana-Champaign, USA; Center for Reliable and High-Performance Computing, Department of Electrical and Computer Engineering, University of Illinois, Urbana-Champaign, USA; Center for Reliable and High-Performance Computing, Department of Electrical and Computer Engineering, University of Illinois, Urbana-Champaign, USA; Center for Reliable and High-Performance Computing, Department of Electrical and Computer Engineering, University of Illinois, Urbana-Champaign, USA; Center for Reliable and High-Performance Computing, Department of Electrical and Computer Engineering, University of Illinois, Urbana-Champaign, USA","Proceedings. 31st Annual International Symposium on Computer Architecture, 2004.","12 Jul 2004","2004","","","26","37","Explicitly-Parallel Instruction Computing (EPIC) provides architectural features, including predication and explicit control speculation, intended to enhance the compiler's ability to expose instruction-level parallelism (ILP) in control-intensive programs. Aggressive structural transformations using these features, though described in the literature, have not yet been fully characterized in complete systems. Using the Intel Itanium 2 microprocessor, the SPECint2000 benchmarks and the IMPACT Compiler for IA-64, a research compiler competitive with the best commercial compilers on the platform, we provide an in situ evaluation of code generated using aggressive, EPIC-enabled techniques in a reality-constrained microarchitecture. Our work shows a 1.13 average speedup (up to 1.50) due to these compilation techniques, relative to traditionally-optimized code at the same inlining and pointer analysis levels, and a 1.55 speedup (up to 2.30) relative to GNU GCC, a solid traditional compiler. Detailed results show that the structural compilation approach provides benefits far beyond a decrease in branch misprediction penalties and that it both positively and negatively impacts instruction cache performance. We also demonstrate the increasing significance of runtime effects, such as data cache and TLB, in determining end performance and the interaction of these effects with control speculation.","1063-6897","0-7695-2143-6","10.1109/ISCA.2004.1310761","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1310761","","Parallel processing;Microarchitecture;Computer aided instruction;Concurrent computing;Program processors;Clocks;Pipelines;Microprocessors;Solids;Runtime","parallel architectures;instruction sets;microprocessor chips;optimising compilers;data flow analysis;performance evaluation","IMPACT EPIC research results;Itanium 2 field-testing;explicitly-parallel instruction computing;computer architecture;instruction-level parallelism;control-intensive programs;structural transformations;Intel Itanium 2 microprocessor;SPECint2000 benchmarks;IMPACT compiler;IA-64;research compiler;EPIC-enabled techniques;reality-constrained microarchitecture;code optimization;inlining analysis;pointer analysis;GNU GCC;branch misprediction penalties;instruction cache performance;data cache","","7","","29","IEEE","12 Jul 2004","","","IEEE","IEEE Conferences"
"A survey of software refactoring","T. Mens; T. Tourwe","Université de Mons-Hainaut, Mons, Belgium; Centrum voor Wiskunde en Informatica, Amsterdam, Netherlands","IEEE Transactions on Software Engineering","28 Jun 2004","2004","30","2","126","139","We provide an extensive overview of existing research in the field of software refactoring. This research is compared and discussed based on a number of different criteria: the refactoring activities that are supported, the specific techniques and formalisms that are used for supporting these activities, the types of software artifacts that are being refactored, the important issues that need to be taken into account when building refactoring tool support, and the effect of refactoring on the software process. A running example is used to explain and illustrate the main concepts.","1939-3520","","10.1109/TSE.2004.1265817","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1265817","","Software quality;Software tools;Software maintenance;Software reusability;Buildings;Programming environments;Reverse engineering;Costs;Spirals;Taxonomy","software reusability;object-oriented programming;bibliographies;software maintenance;programming environments;reverse engineering;software quality","software refactoring;programming environment;reverse engineering;coding tools;coding technique;construction tool","","667","8","111","IEEE","28 Jun 2004","","","IEEE","IEEE Journals"
"Link-time optimization techniques for eliminating conditional branch redundancies","M. Fernandez; R. Espasa","Computer Architecture Department, Universitat Poliltècnica de Catalunya, Barcelona, Spain; Computer Architecture Department, Universitat Poliltècnica de Catalunya, Barcelona, Spain","Eighth Workshop on Interaction between Compilers and Computer Architectures, 2004. INTERACT-8 2004.","24 May 2004","2004","","","87","96","Optimizations performed at link time or directly applied to final program executables have received increased attention in recent years. This work discusses the discovery and elimination of redundant conditional branches in the context of a link-time optimizer, an optimization that we call conditional branch redundancy elimination (CBRE). Our experiments show that around 20% of conditional branches in a program can be considered redundant because their outcomes can be determined from a previous short dynamic execution frame. Then, we present several CBRE algorithms targeted at optimizing away these redundancies. Our results show that around 5% of the conditional branch redundancy detected can indeed be eliminated, which translates into execution time reductions of around 4%. We also give accurate measures of the impact of applying CBRE in code growth.","","0-7695-2061-8","10.1109/INTERA.2004.1299513","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1299513","","Computer architecture;Performance evaluation;Instruments;Electronic mail;Time measurement;Program processors;Optimizing compilers;Performance analysis;Production;Force feedback","optimising compilers;program debugging;redundancy","link-time optimization;program execution;link-time optimizer;conditional branch redundancy elimination;dynamic execution frame;branch redundancy detection;execution time reductions;code growth","","1","1","27","IEEE","24 May 2004","","","IEEE","IEEE Conferences"
"User defined data in the new analysis model of the BaBar experiment","G. De Nardo; L. Lista","Istituto Nazionale di Fisica Nucleare and Universita’ di Napoli, Napoli, Italy; Istituto Nazionale di Fisca Nucleare, Napoli, Italy","2003 IEEE Nuclear Science Symposium. Conference Record (IEEE Cat. No.03CH37515)","22 Nov 2004","2003","1","","165","168 Vol.1","The BaBar experiment has recently revised its Analysis Model. One of the key ingredient of BaBar new Analysis Model is the support of the capability to add to the Event Store user defined data, which can be the output of complex computations performed at an advanced stage of a physics analysis, and are associated to analysis objects. In order to provide flexibility and extensibility with respect to object types, template generic programming has been adopted. In this way the model is non-intrusive with respect to reconstruction and analysis objects it manages, not requiring changes in their interfaces and implementations. Technological details are hidden as much as possible to the user, providing a simple interface. In this paper we present some of the limitations of the old model and how they are addressed by the new Analysis Model.","1082-3654","0-7803-8257-9","10.1109/NSSMIC.2003.1352022","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1352022","","Object oriented modeling;Performance analysis;Detectors;Mesons;Resonance;Telephony;Shape measurement;Software performance;Physics computing;Collaboration","particle detectors;synchrotrons","user defined data;analysis model;BaBar experiment;Analysis Model;Event Store user defined data;complex computations","","2","","6","IEEE","22 Nov 2004","","","IEEE","IEEE Conferences"
"Second international workshop on detection of software clones","A. Lakhotia; A. Walenstein; R. Koschke","Center for Advanced Computer Science, University of Louisiana, Lafayette, USA; Center for Advanced Computer Science, University of Louisiana, Lafayette, USA; Institute for Software Technology, University of Stuttgart, Germany","10th Working Conference on Reverse Engineering, 2003. WCRE 2003. Proceedings.","19 Apr 2004","2003","","","368","368","","1095-1350","0-7695-2027-8","10.1109/WCRE.2003.1287269","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1287269","","","","","","","","","IEEE","19 Apr 2004","","","IEEE","IEEE Conferences"
"Problems creating task-relevant clone detection reference data","A. Walenstein; N. Jyoti; Junwei Li; Yun Yang; A. Lakhotia","Software Research Laboratory Center for Advanced Computer Science, University of Louisiana, Lafayette, USA; Software Research Laboratory Center for Advanced Computer Science, University of Louisiana, Lafayette, USA; Software Research Laboratory Center for Advanced Computer Science, University of Louisiana, Lafayette, USA; Software Research Laboratory Center for Advanced Computer Science, University of Louisiana, Lafayette, USA; Software Research Laboratory Center for Advanced Computer Science, University of Louisiana, Lafayette, USA","10th Working Conference on Reverse Engineering, 2003. WCRE 2003. Proceedings.","19 Apr 2004","2003","","","285","294","","1095-1350","0-7695-2027-8","10.1109/WCRE.2003.1287259","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1287259","","Cloning;Humans;Detectors;Software tools;Software systems;Reverse engineering;Laboratories;Computer science;Uncertainty;Software engineering","","","","29","","16","IEEE","19 Apr 2004","","","IEEE","IEEE Conferences"
"Simple and efficient relational querying of software structures","D. Beyer; A. Noack; C. Lewerentz","Software Systems Engineering Research Group, Brandenburg University of Technology, Germany; Software Systems Engineering Research Group, Brandenburg University of Technology, Germany; Software Systems Engineering Research Group, Brandenburg University of Technology, Germany","10th Working Conference on Reverse Engineering, 2003. WCRE 2003. Proceedings.","19 Apr 2004","2003","","","216","225","","1095-1350","0-7695-2027-8","10.1109/WCRE.2003.1287252","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1287252","","Software systems;Computer architecture;Data structures;Reverse engineering;Cloning;Calculus;Boolean functions;Design engineering;Systems engineering and theory;Pattern analysis","","","","14","","39","IEEE","19 Apr 2004","","","IEEE","IEEE Conferences"
